Position,ReadCount,Source,ts,leader5
175,444.0,5RACE,AT2G16595.1,236
176,432.0,5RACE,AT2G16595.1,236
177,326.0,5RACE,AT2G16595.1,236
178,248.0,5RACE,AT2G16595.1,236
179,794.0,5RACE,AT2G16595.1,236
180,431.0,5RACE,AT2G16595.1,236
181,118542.0,5RACE,AT2G16595.1,236
182,120.0,5RACE,AT2G16595.1,236
183,113.0,5RACE,AT2G16595.1,236
184,72.0,5RACE,AT2G16595.1,236
185,88.0,5RACE,AT2G16595.1,236
186,655.0,5RACE,AT2G16595.1,236
187,494.0,5RACE,AT2G16595.1,236
188,378.0,5RACE,AT2G16595.1,236
189,7.0,5RACE,AT2G16595.1,236
191,9.0,5RACE,AT2G16595.1,236
192,12.0,5RACE,AT2G16595.1,236
193,60.0,5RACE,AT2G16595.1,236
194,52683.0,5RACE,AT2G16595.1,236
195,132.0,5RACE,AT2G16595.1,236
196,250.0,5RACE,AT2G16595.1,236
197,90.0,5RACE,AT2G16595.1,236
198,76.0,5RACE,AT2G16595.1,236
199,100078.0,5RACE,AT2G16595.1,236
200,504.0,5RACE,AT2G16595.1,236
201,137942.0,5RACE,AT2G16595.1,236
202,1038.0,5RACE,AT2G16595.1,236
203,403.0,5RACE,AT2G16595.1,236
204,588.0,5RACE,AT2G16595.1,236
205,103.0,5RACE,AT2G16595.1,236
206,19.0,5RACE,AT2G16595.1,236
207,26.0,5RACE,AT2G16595.1,236
208,24.0,5RACE,AT2G16595.1,236
209,10.0,5RACE,AT2G16595.1,236
210,9.0,5RACE,AT2G16595.1,236
211,6.0,5RACE,AT2G16595.1,236
212,38.0,5RACE,AT2G16595.1,236
213,223633.0,5RACE,AT2G16595.1,236
214,904.0,5RACE,AT2G16595.1,236
215,830.0,5RACE,AT2G16595.1,236
216,189.0,5RACE,AT2G16595.1,236
217,68021.0,5RACE,AT2G16595.1,236
218,386.0,5RACE,AT2G16595.1,236
219,450.0,5RACE,AT2G16595.1,236
220,605.0,5RACE,AT2G16595.1,236
221,328.0,5RACE,AT2G16595.1,236
222,247632.0,5RACE,AT2G16595.1,236
223,851.0,5RACE,AT2G16595.1,236
224,3333.0,5RACE,AT2G16595.1,236
225,2319.0,5RACE,AT2G16595.1,236
226,167.0,5RACE,AT2G16595.1,236
227,2037.0,5RACE,AT2G16595.1,236
228,214.0,5RACE,AT2G16595.1,236
229,615.0,5RACE,AT2G16595.1,236
230,124.0,5RACE,AT2G16595.1,236
231,57.0,5RACE,AT2G16595.1,236
232,38.0,5RACE,AT2G16595.1,236
233,15.0,5RACE,AT2G16595.1,236
234,15.0,5RACE,AT2G16595.1,236
235,8.0,5RACE,AT2G16595.1,236
236,10.0,5RACE,AT2G16595.1,236
237,42313.0,5RACE,AT2G16595.1,236
1,0.0,5leaderP,AT2G16595.1,236
2,0.0,5leaderP,AT2G16595.1,236
3,0.0,5leaderP,AT2G16595.1,236
4,0.0,5leaderP,AT2G16595.1,236
5,0.0,5leaderP,AT2G16595.1,236
6,0.0,5leaderP,AT2G16595.1,236
7,0.0,5leaderP,AT2G16595.1,236
8,0.0,5leaderP,AT2G16595.1,236
9,0.0,5leaderP,AT2G16595.1,236
10,0.0,5leaderP,AT2G16595.1,236
11,0.0,5leaderP,AT2G16595.1,236
12,0.0,5leaderP,AT2G16595.1,236
13,0.0,5leaderP,AT2G16595.1,236
14,0.0,5leaderP,AT2G16595.1,236
15,0.0,5leaderP,AT2G16595.1,236
16,0.0,5leaderP,AT2G16595.1,236
17,0.0,5leaderP,AT2G16595.1,236
18,0.0,5leaderP,AT2G16595.1,236
19,0.0,5leaderP,AT2G16595.1,236
20,0.0,5leaderP,AT2G16595.1,236
21,0.0,5leaderP,AT2G16595.1,236
22,0.0,5leaderP,AT2G16595.1,236
23,0.0,5leaderP,AT2G16595.1,236
24,0.0,5leaderP,AT2G16595.1,236
25,0.0,5leaderP,AT2G16595.1,236
26,0.0,5leaderP,AT2G16595.1,236
27,0.0,5leaderP,AT2G16595.1,236
28,0.0,5leaderP,AT2G16595.1,236
29,0.0,5leaderP,AT2G16595.1,236
30,0.0,5leaderP,AT2G16595.1,236
31,0.0,5leaderP,AT2G16595.1,236
32,0.0,5leaderP,AT2G16595.1,236
33,0.0,5leaderP,AT2G16595.1,236
34,0.0,5leaderP,AT2G16595.1,236
35,0.0,5leaderP,AT2G16595.1,236
36,0.0,5leaderP,AT2G16595.1,236
37,0.0,5leaderP,AT2G16595.1,236
38,0.0,5leaderP,AT2G16595.1,236
39,0.0,5leaderP,AT2G16595.1,236
40,0.0,5leaderP,AT2G16595.1,236
41,0.0,5leaderP,AT2G16595.1,236
42,0.0,5leaderP,AT2G16595.1,236
43,0.0,5leaderP,AT2G16595.1,236
44,0.0,5leaderP,AT2G16595.1,236
45,0.0,5leaderP,AT2G16595.1,236
46,0.0,5leaderP,AT2G16595.1,236
47,0.0,5leaderP,AT2G16595.1,236
48,0.0,5leaderP,AT2G16595.1,236
49,0.0,5leaderP,AT2G16595.1,236
50,0.0,5leaderP,AT2G16595.1,236
51,0.0,5leaderP,AT2G16595.1,236
52,0.0,5leaderP,AT2G16595.1,236
53,0.0,5leaderP,AT2G16595.1,236
54,0.0,5leaderP,AT2G16595.1,236
55,0.0,5leaderP,AT2G16595.1,236
56,0.0,5leaderP,AT2G16595.1,236
57,0.0,5leaderP,AT2G16595.1,236
58,0.0,5leaderP,AT2G16595.1,236
59,0.0,5leaderP,AT2G16595.1,236
60,0.0,5leaderP,AT2G16595.1,236
61,0.0,5leaderP,AT2G16595.1,236
62,0.0,5leaderP,AT2G16595.1,236
63,0.0,5leaderP,AT2G16595.1,236
64,0.0,5leaderP,AT2G16595.1,236
65,0.0,5leaderP,AT2G16595.1,236
66,0.0,5leaderP,AT2G16595.1,236
67,0.0,5leaderP,AT2G16595.1,236
68,0.0,5leaderP,AT2G16595.1,236
69,0.0,5leaderP,AT2G16595.1,236
70,0.0,5leaderP,AT2G16595.1,236
71,0.0,5leaderP,AT2G16595.1,236
72,0.0,5leaderP,AT2G16595.1,236
73,0.0,5leaderP,AT2G16595.1,236
74,0.0,5leaderP,AT2G16595.1,236
75,0.0,5leaderP,AT2G16595.1,236
76,0.0,5leaderP,AT2G16595.1,236
77,0.0,5leaderP,AT2G16595.1,236
78,0.0,5leaderP,AT2G16595.1,236
79,0.0,5leaderP,AT2G16595.1,236
80,0.0,5leaderP,AT2G16595.1,236
81,0.0,5leaderP,AT2G16595.1,236
82,0.0,5leaderP,AT2G16595.1,236
83,0.0,5leaderP,AT2G16595.1,236
84,0.0,5leaderP,AT2G16595.1,236
85,0.0,5leaderP,AT2G16595.1,236
86,0.0,5leaderP,AT2G16595.1,236
87,0.0,5leaderP,AT2G16595.1,236
88,0.0,5leaderP,AT2G16595.1,236
89,0.0,5leaderP,AT2G16595.1,236
90,0.0,5leaderP,AT2G16595.1,236
91,0.0,5leaderP,AT2G16595.1,236
92,0.0,5leaderP,AT2G16595.1,236
93,0.0,5leaderP,AT2G16595.1,236
94,0.0,5leaderP,AT2G16595.1,236
95,0.0,5leaderP,AT2G16595.1,236
96,0.0,5leaderP,AT2G16595.1,236
97,0.0,5leaderP,AT2G16595.1,236
98,0.0,5leaderP,AT2G16595.1,236
99,0.0,5leaderP,AT2G16595.1,236
100,0.0,5leaderP,AT2G16595.1,236
101,0.0,5leaderP,AT2G16595.1,236
102,0.0,5leaderP,AT2G16595.1,236
103,0.0,5leaderP,AT2G16595.1,236
104,0.0,5leaderP,AT2G16595.1,236
105,0.0,5leaderP,AT2G16595.1,236
106,0.0,5leaderP,AT2G16595.1,236
107,0.0,5leaderP,AT2G16595.1,236
108,0.0,5leaderP,AT2G16595.1,236
109,0.0,5leaderP,AT2G16595.1,236
110,0.0,5leaderP,AT2G16595.1,236
111,0.0,5leaderP,AT2G16595.1,236
112,0.0,5leaderP,AT2G16595.1,236
113,0.0,5leaderP,AT2G16595.1,236
114,0.0,5leaderP,AT2G16595.1,236
115,0.0,5leaderP,AT2G16595.1,236
116,0.0,5leaderP,AT2G16595.1,236
117,0.0,5leaderP,AT2G16595.1,236
118,0.0,5leaderP,AT2G16595.1,236
119,75702.5,5leaderP,AT2G16595.1,236
120,0.0,5leaderP,AT2G16595.1,236
121,0.0,5leaderP,AT2G16595.1,236
122,0.0,5leaderP,AT2G16595.1,236
123,0.0,5leaderP,AT2G16595.1,236
124,0.0,5leaderP,AT2G16595.1,236
125,0.0,5leaderP,AT2G16595.1,236
126,0.0,5leaderP,AT2G16595.1,236
127,0.0,5leaderP,AT2G16595.1,236
128,0.0,5leaderP,AT2G16595.1,236
129,0.0,5leaderP,AT2G16595.1,236
130,0.0,5leaderP,AT2G16595.1,236
131,0.0,5leaderP,AT2G16595.1,236
132,0.0,5leaderP,AT2G16595.1,236
133,0.0,5leaderP,AT2G16595.1,236
134,0.0,5leaderP,AT2G16595.1,236
135,0.0,5leaderP,AT2G16595.1,236
136,0.0,5leaderP,AT2G16595.1,236
137,0.0,5leaderP,AT2G16595.1,236
138,0.0,5leaderP,AT2G16595.1,236
139,0.0,5leaderP,AT2G16595.1,236
140,0.0,5leaderP,AT2G16595.1,236
141,0.0,5leaderP,AT2G16595.1,236
142,0.0,5leaderP,AT2G16595.1,236
143,0.0,5leaderP,AT2G16595.1,236
144,378512.5,5leaderP,AT2G16595.1,236
145,0.0,5leaderP,AT2G16595.1,236
146,0.0,5leaderP,AT2G16595.1,236
147,0.0,5leaderP,AT2G16595.1,236
148,0.0,5leaderP,AT2G16595.1,236
149,0.0,5leaderP,AT2G16595.1,236
150,0.0,5leaderP,AT2G16595.1,236
151,0.0,5leaderP,AT2G16595.1,236
152,0.0,5leaderP,AT2G16595.1,236
153,0.0,5leaderP,AT2G16595.1,236
154,0.0,5leaderP,AT2G16595.1,236
155,0.0,5leaderP,AT2G16595.1,236
156,0.0,5leaderP,AT2G16595.1,236
157,0.0,5leaderP,AT2G16595.1,236
158,0.0,5leaderP,AT2G16595.1,236
159,0.0,5leaderP,AT2G16595.1,236
160,0.0,5leaderP,AT2G16595.1,236
161,0.0,5leaderP,AT2G16595.1,236
162,0.0,5leaderP,AT2G16595.1,236
163,0.0,5leaderP,AT2G16595.1,236
164,0.0,5leaderP,AT2G16595.1,236
165,0.0,5leaderP,AT2G16595.1,236
166,0.0,5leaderP,AT2G16595.1,236
167,0.0,5leaderP,AT2G16595.1,236
168,0.0,5leaderP,AT2G16595.1,236
169,75702.5,5leaderP,AT2G16595.1,236
170,0.0,5leaderP,AT2G16595.1,236
171,0.0,5leaderP,AT2G16595.1,236
172,0.0,5leaderP,AT2G16595.1,236
173,0.0,5leaderP,AT2G16595.1,236
174,0.0,5leaderP,AT2G16595.1,236
175,0.0,5leaderP,AT2G16595.1,236
176,0.0,5leaderP,AT2G16595.1,236
177,0.0,5leaderP,AT2G16595.1,236
178,0.0,5leaderP,AT2G16595.1,236
179,0.0,5leaderP,AT2G16595.1,236
180,0.0,5leaderP,AT2G16595.1,236
181,0.0,5leaderP,AT2G16595.1,236
182,0.0,5leaderP,AT2G16595.1,236
183,0.0,5leaderP,AT2G16595.1,236
184,0.0,5leaderP,AT2G16595.1,236
185,0.0,5leaderP,AT2G16595.1,236
186,0.0,5leaderP,AT2G16595.1,236
187,0.0,5leaderP,AT2G16595.1,236
188,0.0,5leaderP,AT2G16595.1,236
189,0.0,5leaderP,AT2G16595.1,236
190,0.0,5leaderP,AT2G16595.1,236
191,0.0,5leaderP,AT2G16595.1,236
192,0.0,5leaderP,AT2G16595.1,236
193,0.0,5leaderP,AT2G16595.1,236
194,0.0,5leaderP,AT2G16595.1,236
195,0.0,5leaderP,AT2G16595.1,236
196,0.0,5leaderP,AT2G16595.1,236
197,0.0,5leaderP,AT2G16595.1,236
198,0.0,5leaderP,AT2G16595.1,236
199,0.0,5leaderP,AT2G16595.1,236
200,0.0,5leaderP,AT2G16595.1,236
201,0.0,5leaderP,AT2G16595.1,236
202,0.0,5leaderP,AT2G16595.1,236
203,0.0,5leaderP,AT2G16595.1,236
204,0.0,5leaderP,AT2G16595.1,236
205,0.0,5leaderP,AT2G16595.1,236
206,0.0,5leaderP,AT2G16595.1,236
207,0.0,5leaderP,AT2G16595.1,236
208,0.0,5leaderP,AT2G16595.1,236
209,0.0,5leaderP,AT2G16595.1,236
210,0.0,5leaderP,AT2G16595.1,236
211,0.0,5leaderP,AT2G16595.1,236
212,0.0,5leaderP,AT2G16595.1,236
213,0.0,5leaderP,AT2G16595.1,236
214,0.0,5leaderP,AT2G16595.1,236
215,0.0,5leaderP,AT2G16595.1,236
216,0.0,5leaderP,AT2G16595.1,236
217,0.0,5leaderP,AT2G16595.1,236
218,0.0,5leaderP,AT2G16595.1,236
219,0.0,5leaderP,AT2G16595.1,236
220,0.0,5leaderP,AT2G16595.1,236
221,0.0,5leaderP,AT2G16595.1,236
222,0.0,5leaderP,AT2G16595.1,236
223,0.0,5leaderP,AT2G16595.1,236
224,0.0,5leaderP,AT2G16595.1,236
225,0.0,5leaderP,AT2G16595.1,236
226,0.0,5leaderP,AT2G16595.1,236
227,0.0,5leaderP,AT2G16595.1,236
228,0.0,5leaderP,AT2G16595.1,236
229,0.0,5leaderP,AT2G16595.1,236
230,0.0,5leaderP,AT2G16595.1,236
231,0.0,5leaderP,AT2G16595.1,236
232,0.0,5leaderP,AT2G16595.1,236
233,0.0,5leaderP,AT2G16595.1,236
234,0.0,5leaderP,AT2G16595.1,236
235,0.0,5leaderP,AT2G16595.1,236
236,0.0,5leaderP,AT2G16595.1,236
